Block: 103
Row TimeStamp TraceOriginalId DocumentHash ContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature VersionSignature LedgerSignature LedgerSeal Block
5744 1551641040096 95ed58c04a48d650fa8292755317dbb3b12d4f208752bc315e17e6da93930d57 3a4785f751bd4532b3e15a42e8aff0d6cf8413772b8751ff7cd606f3659f1345 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f AME 2 020dc1aea15cb367217db8c364d96018fc79a56b788a1cad3c7a9c589da9fe1367 032d0efecacf1242e632125f86fb171e5e676acd2bc58a8d2a610e382403ff9f17 AMHG5gCiAxKACph9QEvTFfNva4lCjT7LCzlN5uN9O2IcAFEiIsr8bIcL5nBtGZhVSokrE6xecD+IpXz5brWkWCsB AEzFONs4A3RrGuHo+cm4f6NROHTP+3e6jpxHp/0Z1JA5AIquTFB8QwWzGjhWe5MlTczqIyc9F8R9Nkju3ZZXszmi AE1fH30y8l8Gp+Gacu/cUQval3gJ0oSrptdKHPIvTuo9AKi3VdZiH4u4Q2VonZC8/hNxO9jEUd4D/yKFinkHBPKV AM3OD0sXj9JZamS2BjZu3lM/6bG9jwQTJseDr4Wm0EpeANSOmtHc54gq7bbwE10Bl41LMYY5gRyQzRKU4ERNZm17 103 
5745 1551641040246 cfdd7fb1ae17b24ec6ef0eb7617a3748980ab549789c3d1d49d77df0df86fd7c cfdd7fb1ae17b24ec6ef0eb7617a3748980ab549789c3d1d49d77df0df86fd7c 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 029d823de9cd38299f254eef1ed6a298ac1e34faf4fb48fb8eddb5230e18a1aaa8 0365df6b0d83eff285151335ff8bb66c3219dd311f150e426e9ce100c5be3be6d1 ACKRIPmIs970t2Mu6n2Vwjz4hZYBx5k8EKY7jKpbDKIJAKF/0Lrot6M0STkEwUMZOp2T3uXffCNRfpaQ4kMcOqDJ 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ALyhBBVW2UXgI37o2fA/WHpIDTrSogme3gCQ5bv9kLznADBz7M1Vq5HsuX8+Bx2ZrwErAhICV+R6F4fhYCp1Oqdk ADbAFDc5bkvT8NKUkVPdANx9p2wwZwJmQKcBih1rgVuEAFY/NDP5wGA7OMhjtacaDLz/+UpDzEtpy5sZYBZSuj5p 103 
5746 1551641040320 9aedd337a4f8220b74727a4315e52e1f0d44039fa816ffb181198777da8a3c73 9aedd337a4f8220b74727a4315e52e1f0d44039fa816ffb181198777da8a3c73 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 0308b211433141affb6bacaa734f0deb593fd4d8f21d1ef06d4d51a2cd1152d0d0 032951980d24411ca76b961347c185690b437ee772ab494d226b97cd0b491c568e AMKGL/0dvFos7rEZGEsNW+cs2lG7eZ6BQFf+RlnrugE7AIiU2bOl89jUl/9PQNAbSK/mYWaTlRDKY6iS8hFX4Cwh 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ABL7VPJv6MguIRGgEjZBabrwoGsxwYO8E9vHxEbZJHPoAIy4RJog1Ux2zbMiYIm7QgKVz1eg1FFgFzs0wFVKQy3L AJ/taBDoYDjF2xXQ/ORgEeJnOp5uqGzeNXxScvxjgE1uABv9rY/Ha9C/T4hxz4U7Z9xJgYS11sKz4ZOOcuH4aten 103 
5747 1551641040465 cfdd7fb1ae17b24ec6ef0eb7617a3748980ab549789c3d1d49d77df0df86fd7c 6f4161a7b1c3ce08f276bb76f3fba97023113f6bbf483dc3ed7a32d5e032f740 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f AME 2 029d823de9cd38299f254eef1ed6a298ac1e34faf4fb48fb8eddb5230e18a1aaa8 02a96944b5452a93007dd336bc0afffdc71ac0b5baa615d2625525de2df32d3070 AORRQKB/WNYBU2I4JHF2Z/UgBaGhbzRxqlLF3NQ1D4wvAI3gEt0/EKX3XfYt7ZNqORbQ8eAHlwYcOiPQkFcPY03W AGBv4NmRPmF9DmNshCLsUFazEcmm+TL5LyIoYhIh2nRVAEG+s6+ch9JszpbaUwTEdDl1LNdUSM0dmYgEAFxEXnv2 AJIg0CDAra9R2l38MMIKK6+tLNU+wunTiwOAw6Vv01dVAER44/2jjA9NfqqL0bBZ9kPojeWJp68q4dTX/uv64sQt AECdENc/+buDy7gUwlymKoOQpf1jDU1hET16cGZulxILAAamU7TV5jgwyIiSF3QtfFp+4uubNutgC045q92mqgGx 103 
5748 1551641040587 f4ecb31c86d1fffc4a5fd6faecbbd85ac293df2ba57eb217c8c9dafe790f17b3 f4ecb31c86d1fffc4a5fd6faecbbd85ac293df2ba57eb217c8c9dafe790f17b3 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 02793bf9b503d8edfaf3c928d919b00d49c12558b8de5f26ddab1427011eb4d6e9 03b6662fdec0da12e9907d634c42b75182b4a2d9d399cef7755e49ff4ae11d46e6 AFQQ2yOeDVpxsMdcCnRRah/gv/9TgBQ2MPoqA4DPXWsfAH69e8DDaGVpN9hJfU6N/8ZwzHbzsgYD8MO0ctk3OK2w 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 AE47iPiqgwjHpsOuymoaz/ScbhX73U2hhPsMQzXSMf3tAEleQls1fmq2sKpTTFrpUgx0pjyYf6FyeTII4rYFPbcr AI/X5EQv7eRLZcgEWH4AnLOAenUeKobo7O9nrbP9NICxAGXV2lkqZPSDW3pJHpMUDE79KE1BdCT9wL+Qg+mjEWB9 103 
5749 1551641040657 d800db72ed76c9477509e16abe6c456e025662960e5bc32011d6634031b60796 d800db72ed76c9477509e16abe6c456e025662960e5bc32011d6634031b60796 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 027854360b6e3416a72925c78b380e785adfb70d4727657151169d00ffcc99a70b 022a22bbb05b1a234d33b8a6a2c4758eacb008ad80928e7125a6da6c18e79be439 AIFqVnXosAs95iRW4EIi6NigrZ4sdZIN8WJAdR43zrRCAKLlB9H1Q3QZy9mLFgJhVRTg67X8skzQ5XWdhNjIM5/L 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 AC9+TSGDVWoLPfrFcyCyjlQOjBvNJAB4no4clKvhVd0lAOhB8nDeK7JTGAH6OwaeRbX0SAlU+RjQKpEO9CVbWWzF AO/jjBffb+29jLuL/jPDCfBPOU42/ZzcF04+bdo+/waHAHAYLTYkAcbqQpyl7dVSpIapQGAeoLWKxb5nULtfmbuH 103 
5750 1551641040800 9aedd337a4f8220b74727a4315e52e1f0d44039fa816ffb181198777da8a3c73 950dc94646329533f7faa4e6166978777987b1444363de112dd25b1b7e96a9c3 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f AME 2 0308b211433141affb6bacaa734f0deb593fd4d8f21d1ef06d4d51a2cd1152d0d0 033bd1dd33701e75fbeadf3ed1271a065273ae09a2cfdcae46f6bfd44ad43b829d AKhRW5y51fdCfjF9NwSqlx7M0jvA28Uy9B1X/zdAH0+5AAYSS9kuc7DKXsdGHP+eyoWaZAOd8t+DcGOpeF3FQD3r AHkTEqlERwLpmAg4UKERiEHQseaL0tQsQ+WaYtKXBx+lAKkWVhAJR2Qf6XBh4fp2xfis4XmH9mtm6kwd6Cltyh9y APfajJcQDwz0YJJOxDiBzLPRNJFHyv3p3Z7W8vkGo0NGAJyndj6TOVwT1Ab+isyp9EsrxBuOXO+wbBLM2R8AMB8L AAe9oS6Duc0s6xPusCxKgbNzQJLPnrB302BxC7V0R3rZAH8Rv38BjbsIxE4fJm/HoAt5o5kdryIzivPXQkKhPZc9 103 
5751 1551641041015 d800db72ed76c9477509e16abe6c456e025662960e5bc32011d6634031b60796 f07aeb32182615a8c33ae25cf1141186a1b21794980fc2cee8dc36b666f2cc02 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f AME 2 027854360b6e3416a72925c78b380e785adfb70d4727657151169d00ffcc99a70b 033dce01dd531caf189769ffd455f169799a95bdf62e6ab7d593a157ca7678bb7d APbmN1vjPIp9g+G64xFDXSVn5YFaR3kc+SCbLEFHLby7AAGw8rnIzdtq+OfvAAuBQTCQ5PD3cP49pGQKJ9B/xJeo AOsJJzb0V4g+QlghxspAzOslNS+54uAaWeHHxaTumLBYAAytv3YjxUsHRl980SLfhT8u4B+NDsY0RoFhQ7nv8rZT AIdOSz5dRCga+GoWrinGpAuDfQs5F/lvZMHU5YfDG6MCAOMod4ONMWWvNZ+V3RUQnmO47awUaIagukqr9/mtsXyC ACkKzB6RAvDlXeRtbQXwqC9RKtv0D/sSs30IQTl9f95GABjaFUjh2Ciy5NRuRm4+tslJ/0buZdm3q3rB8f1xhuzN 103 
5752 1551641041127 f4ecb31c86d1fffc4a5fd6faecbbd85ac293df2ba57eb217c8c9dafe790f17b3 8631e9156dd9e0a58b3c8abdea1e0e2f6fabbf1bfddb9687698e11a8dcd505f8 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f AME 2 02793bf9b503d8edfaf3c928d919b00d49c12558b8de5f26ddab1427011eb4d6e9 03e1ae9f0d38228cc273563aa7ffd3021897735fdbf242fd7f26e085363be8a501 AKKPjWHUT9RSS8xDh8MkATIRS77h9pZXTOKz7rkfLZwQAHZgMjGqUXo+LguywRbRKc3UiR3/66XUElLLQgdJeOsB AN153o1tYp3zQfcG7zXU8ekK/FLJXevaDLs3zpHNrmxqAC35Tdsy5L8CIhJQbOWNW0+2cIAvI94hFOMRsSOcJZLE AC+4R2Bo/LywByCq1f8ZfX1boq1ZwCEIvGlTUpW6F9LiAHQS7PDzuhZVKV3UsEC1KC7ik5KPF0QBtFhpHxtITkiL AGcJeEmn0igBKe6hbyItkmEdCuUKWRL7eGmM0oLElnoeAG0V2t89s6M2NIxqqH3zXmo7dWrB429bUpgVwatciLW9 103 
5753 1551641041265 462a5e1e125c1c2f0bc4c631fc1fda29a5830d0e20c8dffd246509749a0b2f40 462a5e1e125c1c2f0bc4c631fc1fda29a5830d0e20c8dffd246509749a0b2f40 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 0210aa4ce329116cf8106f509d70a735128bae5282c78fe9db97227022bf651684 02da4a17959c56e129b342b424143561b4bf7f0fe7a58300ea88c46b3bf017dcf9 ACpR5TSFejdp+xVVLCsHmfatQuVJRBgMSD3maaDrKxUwANhmnBGM0RivsmQwXlXkXHCO7if9ncdvfYbljFGeOB47 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 AEnobcQJhGZH7dMFeZLbaRR0MpIVgwMYW7q5tWnejrvyAN+hmdZgU/tt3C/6PhonU3NREHLdPIPF+bSwAAtTGOhj AP8HbsERm8aT/kWfkLIvzjZOVsbw7NZrGbo6serUwCGFAJtd3zWIXeRs8EZH9MtUgOCJju7QVKgBZcggzgAtoeS8 103 
