Block: 6
Row TimeStamp TraceOriginalId DocumentHash ContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature VersionSignature LedgerSignature LedgerSeal Block
103 1551857716172 adb52067b477ab81684c66f1381bd76652c50eedafc827d4be392c2097e9ea65 adb52067b477ab81684c66f1381bd76652c50eedafc827d4be392c2097e9ea65 3f9e554a17df29afc3b7271779603cd6cfef4316c4f5ffcd2b7d649aa47e1d7f CRE 1 0367c6fef969b4a8dbaa52954ddd098ab73adafa6ac0a4886e88c4791a29f79cea 020b692d16aa46b36a92746ff9b776518072afe1d6921ecd64e2f4f2a0e423ebbc emhI6GoyWCWr6y+9Z3vH8Tv6fBjDgG6Rjw3hDvoQTsJOXAr4/Aw9Js7NXqXTSQE9rGsaIubc3V6BtoJuAJU9/g== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 pgp2AqBlT0PpZ9NKsG2zq7Fsb12LTxDAJqeIZMl+bxQTNSAkEM439udSGiPiFSFOrmjSHuUcq04/kldsWBXjMw== kGZQJRQXU+bwbpKOL59LicY3fZppbLdBrjX6hAn8acWzIEt03ATchkScJ2lTwFJvrno0VNkMnj5HFLWVp3/dIQ== 6 
104 1551857718561 adb52067b477ab81684c66f1381bd76652c50eedafc827d4be392c2097e9ea65 46cbff7a4fa5c7ced2d5f9715304f83e2ca41474e07804e2bd404a43e65d5b71 54b8775be9018cbc49f9fc7b924b342fa28b9b8591d338fafd6c2f417ba68139 AME 2 0367c6fef969b4a8dbaa52954ddd098ab73adafa6ac0a4886e88c4791a29f79cea 02020366f2ec109419faa6e99048c1c45e4923f46bb89ba41b9d70f22527ee227a SrDdhgq2pnmJZGh2Mq6qj2xUS6AywfyptKqSf9A6YHGNfctbVud+ZtpVpNXJA0lmiQvxyKgqhi2+wroIHfHpww== SZeSrcbrx6eFo3DYWtBm9ZfZ7knsjOy+R4BZzoTB7ehjGdi+DZhiblTl29JpcrMhXnU+JXEXYlRIsbG9tWhrYg== XJbbV8+Ixk5LbOGP9K954aCrXk4QaA4ljHM1rDo3VJkjJwqgZWurpnaEzrUyOw6OMZRa0i6RsxU1Vb7DoDbqTA== kwGXiME2GsoRneRzewmqWipruwnMRz3YBzr273oxKk+2dkJr1ZhdZXipfObfMl+FRWWIso8uTOdXyFnugTIBGQ== 6 
105 1551857719795 adb52067b477ab81684c66f1381bd76652c50eedafc827d4be392c2097e9ea65 e1a8fbb84bde7b7a66fad78e5ccb81c6d0e8aa84d139e9747ba588df37946760 beb8fda677642919747ab36ba6a46798195f0515e25d31ee5bfef2bc6f6240dc TRA 3 02df04907c92571851097f245aaca109185b8e5782f31f71090e7f0461b537148f 0382047437c01f0c85d0b17b2f15d97c189641fa8f272b80b2fc0cb2b7da49195f B4CUzvA/pFTkFw+MrESu1+3LyLDrm7qCTZcotDHGjW0kQw6GgAgTALny4n6GMq77HeC4XtvojSCtVXcZwDO2JA== SVC440DaRtJIQCUizVsTDqhfW80fRmT6ALp4CWmIVC3/s14cNhF7eRPj32z5PZOmYWutIfJk2KMds/qmprssXQ== hHp214VLmJt2PZrTNOmvRXWYoRFhduxuHGcsjI7rBuOEvm1bHwgMUGpn9fPh67t/ZsLYaREREVkGK2ZRxbFwfQ== Dy48Gh4fF9Q2b11aIJGLWvYdr/oZNLc55HO3/nNcCxYe5IRN7MqkpGItJLrqJfTnSHxMJ5i3bkkea/d2k9SZag== 6 
106 1551857721631 ec50c3c577842df0c0fb8923de03844a3dfd8e6dae84fd44a1f992d362a1001f ec50c3c577842df0c0fb8923de03844a3dfd8e6dae84fd44a1f992d362a1001f 3f9e554a17df29afc3b7271779603cd6cfef4316c4f5ffcd2b7d649aa47e1d7f CRE 1 03f75754bb5c34744dfd086d66136140620dade5700c625f2f9484f37f898df81f 02a1c446332615a95ab90060ca9fec5c42d8a514ccce5d0b15314fc89e8c6b33a4 NrMiQFgwHzXEZhWeyT2rupIThmgLerIct2yhtfspPDK6Lk3NEOKo1qDSHngnF/UVpCIerivjLzugFOV7Q3EnMg== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 x5/vapGPJPomHMwzW+GaJPiY8IYPC0qSoKQJQ3mRp972NTFZAZCGsJX0uVFpYRmL558vLoMvwmuy+zhczWM6nA== zPMmnDrTfYYr42XlXMllkQl4tVX9mjKv9rNdEz6cvnxg9RbHqSqTRZRSfIijn8ObqjSw8l0/z5dpkvzPD4Ypgg== 6 
107 1551857723785 ec50c3c577842df0c0fb8923de03844a3dfd8e6dae84fd44a1f992d362a1001f 7d7bf76a6d76a874593c00e2a214339359ac5b5935416cafd2bebd9bad1615ad 54b8775be9018cbc49f9fc7b924b342fa28b9b8591d338fafd6c2f417ba68139 AME 2 03f75754bb5c34744dfd086d66136140620dade5700c625f2f9484f37f898df81f 0247700fde3a12ca1132b4c42a1daf4e82296fe9423a9abce13346d06158fc5664 gfoDe+UdfKSRQYrYwf7QVPSJ/T+ggFPF4fJ5BDRU3NI3n09dIhpyd416ryAD2VED8XPufsD1lE99JQpHncnBiA== UNu24983949ZFIsQ22v6x7ipQr+MPOtxCHolA93SszllkX6vIBz2VGsBm55iMpa32Mbb5OxLySzyuoePrbIRmQ== CjA2ZnrGFhqbO/bd4CPhdLVXVKxgt3gePT/kYicis8dPYp/FUdkiuGaO8hynce6rXP5ieQaQm2AH7uzpLWdXSQ== fVjQ+rjr3zuGuuZYNmFc4Pndxvuf0/O+Fo0ypQThFXGncMAR5wLpkuL9pct6Sf6gaWx0OJEtiCMrbYcOY/Ajbg== 6 
108 1551857726895 9b364e8081a1aa11f032aafe0539ae97c0cde876aaf1f499c3b1bc974c92fbfd 9b364e8081a1aa11f032aafe0539ae97c0cde876aaf1f499c3b1bc974c92fbfd 19fc74b1746cd37c4c5a73a937922fa9c6bdb7e759ff303b76542321aebedb0f CRE 1 038ec2ede8348420d8bdf6ee1ed41db2dfd5d29ac9a679d91a0e29aa33254139be 0251de8363387fa83f4b52e72e9635031cd1bbedb3db9f3f0c603b935bd4e5fb46 VdccrGqctLB3zgnZhTB9YsrcJ5Tle/ZkdWCdsVHSGllGAW2CRQeFaKG/9WFeyMvwi28qz3Skbf8cbkXBI+BDgw== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 GiM05L5FdkdG+1T3IukKAJI2pR0KuUaqE5zg3x0iyF08kyBXI8pIR4ahekN3zMCLsICMWUXijU6TrTMsGXlCOA== X7uPa8VEYuDaakw2smkBtGUSYRlBHais7I7cpdYgeH/GNdxGSizHRkNkFMqcmEl9AxGUOOutl2OPMjwrTEypag== 6 
109 1551857728364 9b364e8081a1aa11f032aafe0539ae97c0cde876aaf1f499c3b1bc974c92fbfd 58416b77133c80642cd462d0eef338296d31e91f1f9505affee8138502561ebf 12a1d6055c2db7adfb0e56daca0f1a167b0892467536539e7210df6fb4131c88 AME 2 038ec2ede8348420d8bdf6ee1ed41db2dfd5d29ac9a679d91a0e29aa33254139be 03540d1b0fe1cf0aec30898517b742cead3e86f16c50292cc29ad2760d3e1ffe6c LpStizjFfc4Mj30Kgc638dfTz6iCs8hyRMcZWUUkICbLWnSeRpwvfHfK1JijJCytSGZZfhdDOLk80/iQr4sA8Q== gzdLHqX2yy9GVmy1Ok7s1sG+bSCqc1YmiJn9RZGPDSIsosA7MTp6FFJmZ2/ty0BlE10eE5tfXt9qd0lbWl6Gtw== x4TJJX/KeGTqvlUnaVqCsR0l3oID0IztD3sf2+AdCFA0crroErXjadbCjnGLg8PAyPTEIeeQI3P4qbu2/3fzXQ== AESutfedsvV3lCEiEmF8j/+04RDtrQ/JOJZ460KI0pyev0cXBuwjQAu6Gxn3+Oc1sdlb2b8S3iD2hR4vHGVxDw== 6 
110 1551857729789 9b364e8081a1aa11f032aafe0539ae97c0cde876aaf1f499c3b1bc974c92fbfd faee466f73d4aa3383e7a117c2620d29605ade43b6655a8fdc6b0017f5bdb794 9d4764a846e3c144a9744ed74e3919673b15b4b948a132d622af9d4542e18ce6 TRA 3 02df04907c92571851097f245aaca109185b8e5782f31f71090e7f0461b537148f 03f85b485cba677e3c1ab8269e42e8470b4bc67b007cb3f5524fc9992d1c98db86 0DAIYUzsKMn5NAzOWLIqZwYPH49CF2BedEdU9XnXe4pROS9aDvsXw5nsJLVoYkGeT0Qf5sQ1FlN3hXEJGpfovQ== vq/Goi4ixalDEOlRfKav6R/62AlM1SbZ8Om04m6Ke4geu5mWjpBiQGRSp7TDNfkfm4qRV+XYpGsUqIG9CFxtPg== bo8HnAw/9zyrjV1cGZmPc6KHio9FhRYofq6nMw3c457lv0zX5yQ9YwF06BBRBllwCy5joztfRwWV8XFV2usgqg== Yp2iTssPhgsb/K4TzO2j+W4b7L1ArTtQpcw+upSFXSiggvBgr2yF5FeYh23ctxlUoJJqO0Na4MBnZP7s/EbK8g== 6 
111 1551857730900 0c9fa80480e07b0672a7e191053ecbd07fcaebaaa4e9a1ee2cfd898e66f94c9a 0c9fa80480e07b0672a7e191053ecbd07fcaebaaa4e9a1ee2cfd898e66f94c9a 19fc74b1746cd37c4c5a73a937922fa9c6bdb7e759ff303b76542321aebedb0f CRE 1 027c7c33474c5ed098cd05e80e149dcf283b5588345e72e7434358bef31c26c7ac 0356b70f3a924575819559a4393d7c45a49e08e34950f12ad1224685a32b5138ec Y72kDG2JY5i/7kzzMSAoiSs+ez2MfkXNDyHySrp1TP1sXiWBr+gQr0t9f3dkjmf8YPs0/UVKXOw1mH3ydM/CFg== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 u90IYAEUJh1TjBAg90lGtSRd/9v4aY/D/iYRrNB4CMkFv9xttOQk3hq+HWIKA9HkOf/omAW9UpjBACAAmSnbtw== W+z5Ww9d5+tmIUS7XOQbpRK8BlI9rsHu38GZ5mWL4FKjtUKKiLwc+F1yl+tSq/KS6hCK9G0fq2pKLIEmj6mRlQ== 6 
112 1551857732171 0c9fa80480e07b0672a7e191053ecbd07fcaebaaa4e9a1ee2cfd898e66f94c9a 8d724b9910710ecd33d36eaeb5e46b1615cecf038e2ec05798bfe30a7bfb64fb 12a1d6055c2db7adfb0e56daca0f1a167b0892467536539e7210df6fb4131c88 AME 2 027c7c33474c5ed098cd05e80e149dcf283b5588345e72e7434358bef31c26c7ac 0229ed40a25d8c4cef5fa069e39dd5be6dd4226059c56f5a31cc1ea451e93d80cf zFp3UPJiq68HOQTVhpINE8v4sfZzg4N4RwQJ1Y690R4uDkS1p15M9F09fsvXy87Vz7rEs3bQ6iplusiHmQmuhQ== lo6rXd5BXYSzad7Tvf4ATQAJSCigrlscQPHJQ2WIjqA2Q/9OVhkjqBY/uT2jCw6fxeNaYVP9J9lc8x/r7sQCSw== ZP1JmCaGx7bLyzPFlH5DnOTDJbrtspDye7rETgHucyrNQpi3/8w9v5VfU4+2/+OuDSky3kY3EoIMWh1hY4Zt0Q== 2tBj8Py6PQSHSjHe9+M8JcJN7jFZ9rHGhsHZTHx41CrqP9m7x7ng6MS/bIyn4SIMm+5v82PS/ONvHDh51t1+fA== 6 
